prompt,generated_woprompt,label_woprompt
"to his great surprise , the blood led back to his own home , and back to the simple buildings of the farm .stepping inside the familiar barn",",he was startled by the sound of the family's two cats.the father said that it had been 12 years since the family cat had made this sound . the family was stunned at how their son could have gotten into such an adventure without being lost . the story is still unsolved today . A recent post in The Huffington Post about “5 Money-Making Gig Trends For 2013” really got me thinking. It got me thinking about all the people out there that want to work from home and earn extra money on the side",", he saw the little sty maiden sleeping , her injured hand bandaged against the mud .he shook the sty maiden awake , bringing water to wash her soiled face .from out of the mud emerged the woman who had so enchanted his heart .forgetting his girl at court , he declared to her his most passionate love , and brought her into his fathers house so they could be married at once .for a time the sty maiden was very happy , and the two were wed in a beautiful ceremony .mere days after the nuptials , however , a decree was sent from the dukes house .it declared that the dukes sona nobleman in his own righthad fallen in love with a mysterious woman at the ball .it was demanded that the province be turned upside down in order to discover this legendary beauty .she would be known , the decree concluded , by a particular scar upon the top of her hand ."
"none have my power .ah , but they do .edon himself tore down a castle , striking as if he commanded lightning itself , blast",ing away at the structure until the bricks were in flames.the king was there and his family .all perished .he did this without thought to the others that were with him .edon could not be sated .the people began to fear him .the king sent an envoy to meet him .in this meeting the king offered the hand of his daughter .edon took this .in this manner did the two unite and build their own city .edon gave up the battle .the king built him his own palace .edon made this into the home of the rulers .edon had given the,"ing stone walls apart like a child smashing wooden blocks .lies she trailed off .where did you hear this ?hear this ?liam laughed , dismissive .my lady , i saw this with my own eyes .i was there .adelines voice grew faint ."
"something like the clock maker .its a weird name for a restaurant , but whatever .and you want to go there with me ?i asked certain she","was in. i really liked this girl and it was kind of scary how much . and then the waitress comes back . ""is that all right mr .mackenzie "" ""sure is . "" and she took our order . she had on this long sleeved turtle necked and this pants and boots and her hair was up in this kind of french twisty kind of way and she was pretty and she was 12 years old and she was very precocious . she said she liked the music . she liked the art work . she liked the people . she liked","had the wrong person .of course .im not married to anyone else in here am i ?we are what now ?i know , she sighed , i cant believe it either .im having a hard time remembering to put ramonia brickem on everything .that name , i knew it from somewhere ."
"it felt like i was being bitten by thousands of tiny little mouths , like i was bathing in liquid flame .it ended as quickly as","it began and the next morning the rash had faded.i did have to use an antihistamine . i thought this was caused by an allergic reaction . is there another possible cause . i am 12 years old . i also have eczema on my wrists . is that the same as hand eczema .thank you . A recent survey from the U.S. Travel Association shows that travelers who took part in an experience were much more likely to take action, such as making a future booking with the same travel supplier (51 percent versus","it had begun , and when he stepped back , my eyes widened and i gasped on a tide of smoke .i felt like an actress in a winter fresh gum commercial .all tingly and refreshed .my arm even felt better .as if it had been healing for months rather than a few days .i felt like i could run a marathon , hunt some bison , or come up with a cure for cancer .i grinned at him , fairly fizzling .wow .what did you do ?"
he cried .everyone leapt from the cots and started running around like mad .lanterns hit the floor and cots went flying .stop,this at once. you all will have to go in the water again .then there was silence .all were looking at him with an unreadable face .the king got up .he took his swords off .i thought that is it. no one said a word .then the king got on the table .then there was silence .then there was silence .the king then got on the table .then there was silence .then there was silence .then there was silence .then there was silence .then there was silence .then there was silence .then there was silence .then there was silence .then there was silence .then,"it this instant .the king screeched .it was the first time he looked to be in control .everyone froze .we will fight as we planned .someone go tell the army their time is here .and guest , he looked at me , i have an important job for you ."
the war and the princess the black sand was course and hard and crunched when i walked on it .the wind picked up and blew fier,"cely making the sand sift in the air.i took off the hood of my cloak and ran into the water with all the others . the sand got into the water making the water murky. the sand stung as it got into our wounds . the water was icy and made you want to go home . the water washed away all the dirt from the battle . the water felt refreshing on the cuts on our backs ,arms,legs,necks. the water made all the sand that got on you wash away and then the water rushed in and went under","cely down from the mountains .i pulled my jacket collar up around my neck .wait !i looked down and found myself wearing black pants , a gray shirt , and a black jacket .had i been wearing that before ?i checked my pockets .the strange faceless clock was still there .maybe i had been wearing that the whole time .the black beach ended ."
"soon all three of us were surrounded by it , a thick vapor , a warm fog that seemed to breathe .i felt as if i was",in the womb again and this was the water .the mist began to enfold me .as the light got brighter . the water took on the shape of the ship. then the water took on the shape of the ship .then the water took on the shape of the ship . then the water took on the shape of the ship . the water took on the shape of the ship . the water took on the shape of the ship . then the water took on the shape of the ship . then the water took on the shape of the ship . then the water took on the shape of the ship . the water took on the shape,"surrounded by something living , and i realized that the room was growing darker , lights straining to retain their brilliance beneath the weight of the fog that just seemed to grow thicker and thicker .the lights flickered .off and then on again , and i saw it .a hunched figure in the corner behind marcus , eyes still shining a putrid yellow .he was barely discernible through the fog , but his focus was unwavering as he watched his foster brother .i couldnt say that he was more animal than man in that moment .id never seen an animal whose bones stretched the confines of their skin , or whose limbs seemed disjointed , as if they were used to be bigger , used to being more .no , i couldnt say he was an animal .that would have been too tame a word for the thing that was carefully stalking the two men in the room with me ."
"unable to hold in her resentment for another second , she blurted : what exactly are you playing at ?fenric continued the writing hed","done and was still looking up at his father . ""are you saying i did this on purpose ? ""he said with an icy stare. ""of course not, im saying that it could of been avoided had you of made an attempt at all . ""mr durren replied as he got up from the desk . ""then how am i meant to have prevented this from happening ? "" ""i don't know, i really don't, all i can suggest is you start making an attempt . ""mr durren sighed . ""is there no end to this ? "" ""well m","begun without reacting to the bitterness in her words .youre going to have to be more specific , he murmured .what youre doingthe comments youre making , rose explained , about me .master rose , fenric said , looking up at her with concern , in the game were playing , it does neither of us any favors to doubt one another .game ?rose asked , taken aback .i gave up everything to be here , this isnt a game all life is a game , benson rose , fenric said , finishing his letter and blotting it adeptly .it may be one of strategy or of luck , orif were fortunatea game with no purpose save enjoyment .whatever it may be , however , we do well to recognize that it is , in fact , a game ."
"imagine , fighting off vaslander berserkers !they wouldnt know what hit them .how do you become a knight ?you join the","king in battle.then the king is impressed and invites you into his army as a knight .the king then makes you a knight of the order of the swords.i was gonna use this on the rp i did with mr.mom, but it got kind of stalled .but its still cool to have an idea that could work ! A recent survey from the U.S. Travel Association shows that travel and tourism-related employers will hire 125,000 people this year, up 3.1 percent from 2011","army , and rise through the ranks .knights command many other men .it takes years of work , though .supposedly men are raised only on merit alone , but everyone knows that noble sons find the path to knighthood much easier .everyone ?everyone where ?amira froze ."
it flew up faster and farther than it did before .it went up so high i began to wonder if it was actually flying .it continued up and,up until it was lost from site in the distance.i could still see its shape moving as it got higher. then the ship took off into the night. the light on top was very bright .the ship moved at an unnatural rate of speed. the ship made no sound while moving . the ship had 12 lights that were all in the front. there were two large red lights in the back with three small ones between each . there were 5 large green lights and 3 small ones on the right side . there were 6 large green lights in the back . there were 12 small ones on both sides in,"up until i could see the ceiling of the cavern coming up fast .i shut my eyes and heard the greatest of bangs .i could not help but look .the monster had jumped straight through the ceiling and we were now outside .we were in the clouds .rain hit me like little needles and the lightning flashed before my eyes , the thunder erupting around us .i felt my hands slipping , giving up to the storm .i could do nothing as i fell through the air except look at the giant fish monster that continued higher and higher ."
