prompt,generated_woprompt,label_woprompt
"On Monday, the Israeli army withdrew from the Gaza Strip. Palestinians rejoiced over this occasion, with Mahmoud Abb","as, the president of the Palestinian Authority, calling it “a victory for the Palestinian people”.
Yet, the celebrations were cut short by the deaths of 11 Palestinians, including seven civilians, in an Israeli air strike in the northern Gaza Strip.
The Israeli army claimed that the strike was in response to mortar fire from the Gaza Strip, which killed one Israeli soldier and injured five others.
The Israeli government has also continued its blockade of the Gaza Strip, which has been in place since 200","as saying that ""This is a day of happiness and joy that the Palestinian people have not witnessed for a century.""

The 38 years of Israeli presence in the Gaza strip have officially ended.

Palestinians were overjoyed at the sight of the burning synagogues, planting flags in the midst of it all, and shouting cries of independence. Teenagers set fire to a few synagogues, letting out anger at Israel's occupation.

The fires did little damage to the concrete structures, but Abbas said that the Palestinians planned to destroy them fully.

Palestinian police admitted that there was not much they could or would do to stop this.

Last year, the Israeli cabinet had planned to destroy the synagogues, but this Sunday, under pressure from religious Jewish organizations, it reversed its decision. Palestinians were angry at the cabinet's Sunday vote.

The synagogues, as well as all community structures, including community centers, schools, and sports facilites, are the only physical remnants of the Israeli Gaza Strip presence since all residential structures have been destroyed."
"Gary Bettman, the NHL commissioner, today announced that the 2004/2005 season of the National Hockey League","will begin on Thursday, October 7, 2004. The season will run a total of 82 games, with the playoffs beginning on May 30, 2005.
The season will consist of 48 games played between October 7, 2004 and January 3, 2005. The league will then go on a 20-day break, resuming play on January 14, 2005. The playoffs will run from May 30, 2005 to June 15","has been canceled. The announcement served only as official comfirmation of what was generally expected as wild speculation had raged during the past few days. The dispute centered around player pay caps, which where staunchly opposed by the players. The majority of NHL clubs have lost money over the last five years and as a result the clubs wanted to cap pay at a set amount. The club owners would not go above $42.5 million for any one club, whilst the players refused to go below $49 million. Speaking about the cancellation, Gary Bettman said ""The shame of this is that our fans deserve better.""

This will be the first year since 1919 that the Stanley Cup - the top prize in the NHL - will not be awarded. That year, a flu epidemic forced the finals to be called off."
"German news magazine Der Spiegel reported today that a letter from an extremist Islamic organization calling itself ""Secret Organisation Group of Al-Qaeda of","Jihad in Europe"" was sent to the German Embassy in Oslo. The letter threatens to ""kill all the apostates"" in Norway, including the country's Prime Minister, and warns that ""anybody who does not observe the rules of the Quran will be killed.""
The letter, which was sent to the embassy on February 20th, was forwarded to the German Ministry of Foreign Affairs, which forwarded it to the German Embassy in Norway.
The letter, which was written in Arabic, was sent to the embassy in Norway's","Jihad Organisation"" has appeared, a previously unheard-of organization, claiming responsibility for the explosions in London today. The BBC later released a statement, translated from Arabic, from the group. The text reads as follows:

In the name of God, the merciful, the compassionate, may peace be upon the cheerful one and undaunted fighter, Prophet Muhammad, God's peace be upon him.

Nation of Islam and Arab nation: Rejoice for it is time to take revenge against the British Zionist Crusader government in retaliation for the massacres Britain is committing in Iraq and Afghanistan. The heroic mujahideen have carried out a blessed raid in London. Britain is now burning with fear, terror and panic in its northern, southern, eastern, and western quarters.

We have repeatedly warned the British Government and people. We have fulfilled our promise and carried out our blessed military raid in Britain after our mujahideen exerted strenuous efforts over a long period of time to ensure the success of the raid.

We continue to warn the governments of Denmark and Italy and all the Crusader governments that they will be punished in the same way if they do not withdraw their troops from Iraq and Afghanistan. He who warns is excused.

God says: ""You who believe: If ye will aid (the cause of) Allah, He will aid you, and plant your feet firmly.

The statement was published on Qal3ah, an internet forum which has been used before for announcements by Al-Qaeda, though the validity of the claims are currently unconfirmed. At a press conference, the Metropolitan Police stated they had not received any claims of responsibility from any group."
Molson Canada picks up Creemore Springs Brewery Ltd. as the company maneuvers to make an entry into the craft beer,"market.
Molson Canada is looking to make a move into the craft beer market with the acquisition of Creemore Springs Brewery Ltd.
The company announced today that it has entered into an agreement to buy Creemore, which brews and bottles its beer at a 100-year-old brewery in Creemore, Ontario.
""Creemore is a brand with a loyal following and a reputation for quality and craftsmanship,"" said Pat O'Driscoll, president and CEO of Molson Canada. ""It is a perfect complement to","market.

Creemore Springs of Creemore, Ontario, produces the locally popular Creemore Springs lager. The merger will allow the company to retain its identity.

""The Creemore brand image and brewing craft will remain unchanged,"" Creemore Springs Brewery chairman Bill Wilder said. ""Molson understands and appreciates what is special about the Creemore brand and this makes them a great purchaser for the company.""

Industry observers are mixed on the benefits of the deal for Molson. The CBC reports one analyst suggests Molson may be trying to replicate the success of rival Labatt's premium beers. Others point out the small brewery model does not scale up well, and the attraction of a ""boutique"" beer fades in large-scale production.

Molson Coors Brewing Co., formed by the US$3.4 billion merger in February of two family-run companies, Canadian Molson and U.S. Coors brewing companies, is the fifth largest brewer in the world by volume. ( TSX:TAP.NV, NYSE:TAP)"
The World Health Organisation has announced that the number of people receiving anti-retroviral treatments (ART) in developing countries is increasing significantly - more,"than 3 million people are now on treatment.
The organisation said that the number of people on treatment in developing countries had risen by 15% in the past six months.
It added that the number of people on treatment in developing countries had risen by 15% in the past six months.
The organisation said that the number of people on treatment in developing countries had risen by 15% in the past six months. The organisation said that the number of people on treatment in developing countries had risen by 15% in the past six months.
It added that the number of people","than doubling between December 2003 and June 2005. One million people are now getting the drugs they need, compared to just 400,000 eighteen months ago.

However, access to treatment is not growing as fast as demand, and the UN is unlikely to reach its target of treating three million people by the end of 2005 - just over half the people who need it. The longer-term target of universal treatment by 2010 is still likely to be met.

The figures show that the number of people receiving ART is increasing in every part of the globe, but not as quickly as people are contracting HIV. The numbers getting treatment in sub-Saharan Africa, the part of the world worst affected by HIV/AIDS has increased threefold on a year ago, and doubled in the last six months. The same rate of growth as also been seen in Asia, the second-worst affected area.

The WHO's report highlights that the best progress has been made when governments have worked together with the WHO, the UN and other parterners. The report goes on to make recommendations for simplifying the process to enable treatment levels to be increased even faster.

The UN's target was based on what was hypothetically possible if all possible steps to provide treatment were taken. The report shows the while financial, political and technical steps have been made, other areas are falling short.

Pressure groups said that countries were reacting too slowly to the pandemic and called on the G8 to provide more sustainable funding for universal treatment for Aids.

UK international development minister Gareth Thompson said: ""We are committed to universal access to HIV treatments by 2010. We will spend £1.5bn in the next three years on Aids, including £150m on orphans."""
A recent survey conducted by the American Cancer Society has turned up some surprising results: Americans generally hold false beliefs about the nature of cancer and its treatment,".
The study, which was released in June, found that while 91% of Americans surveyed knew that cancer is a disease, only 57% knew that it is not contagious. Only 47% knew that it is not a result of a person's lifestyle choices. Only 44% knew that it is not a result of a person's genetics. Only 41% knew that it is not a result of a person's race.
When it came to the treatments for cancer, 47% knew that cancer is treatable, but",", even though many believe they are well informed.

Health experts say this ignorance could be dangerous: People may be making poor health decisions -- avoiding cancer screenings or rejecting potentially life-saving treatments -- based on their incorrect notions.

The most common misconception is that surgery causes cancer to spread. Decades ago, cancer often was not discovered until it was very advanced. At that stage, surgical efforts were rarely successful, and many patients died soon after procedures were performed. This may have given rise to the mistaken belief that the surgeries caused the disease to worsen.

Another commonly held myth is that there is a cure for cancer, but the medical industry is withholding it in order to continue profiting from the sale of less effective treatments and medications.

Believers in this ""conspiracy theory"" may not be guided by it in making their personal health decisions, though. The American Cancer Society says that even though many people are suspicious of the medical industry in general, they have a trusting relationship with their own physicians and are likely to follow their advice.

Almost 20 percent of the people surveyed felt that medications for cancer pain were ineffective.

About 10 percent expressed the belief that cancer could be cured with a positive attitude alone, while a similar number felt that there was no effective treatment for cancer.

The fact is, cancer survival and treatments -- including pain management -- have vastly improved in the last thirty years.

Results of the survey appear in the August 1 issue of Cancer, a journal published by the American Cancer Society."
"The FOX Morning News broadcast from Harvard Square this morning in Cambridge, Massachusetts. Anchors Liz Carrigan and Gene Lavanchy profile","d the newest member of the Harvard community, President-elect Barack Obama.
Obama, who will be the first African-American to assume the presidency, will speak to students and faculty at the Harvard Law School on December 1.
The broadcast included live shots from the Law School, where Obama will speak, as well as shots of students walking through the square.
Lavanchy also interviewed Harvard Law School Dean Martha Minow about her reaction to Obama's election.
Carrigan and Lavanchy also interviewed members of the Harvard community about how they","d a restaurant and a musician who will take part in the 22nd annual Mayfair, which starts on Sunday, May 1. The restaurant, Grafton Street, is on Massachusetts Avenue.

The Mayfair is a festival that takes place in Harvard Square on an annual basis. On Sunday, the Square will be closed from noon until 6 pm to vehicular traffic; according to the Mayfair website, ""200 artists and merchants"" will participate in the event this year.

The musician, Halsey Burgund, works for a computer security firm, but plays the drums and piano in his spare time. This morning, he had set up his portable recording booth to demonstrate the means by which he records passersby for voice samples in his music. Burgund will have his booth set up on Sunday and hopes to record festival visitors. Eventually, Burgund hopes to release his music under a Creative Commons license. Burgund noted that he previously tried recording people on the street with just a microphone, but he found that there was too much ambient noise for the quality of recording he desired."
Iraq has carried out the first executions since the demise of the Saddam Hussein regime. Three men convicted of murder were hanged,"in Baghdad on Saturday.
Iraq's interim government has said it will bring back capital punishment, but the executions were condemned by the United Nations and the United States.
The United Nations human rights chief, Kofi Annan, said the executions were a step backwards for Iraq.
""I am deeply concerned by the recent executions in Iraq, particularly as they appear to have been carried out in a manner that is inconsistent with international standards,"" he said.
""I call on the new Iraqi government to immediately halt all executions and to ensure that any future","on Thursday morning in Baghdad.

The Iraqi government argues that the death penalty will help to deter criminals but spokesman Laith Kubba admitted that ""this is not an easy thing to do"".

Iraqi president Jalal Talabani is personally opposed to capital punishment and stated that he would never sign a death sentence, not even against Saddam Hussein himself. His deputy Adel Abdel Mehdi signed the warrant instead.

Human rights groups and the United Nations had hoped Iraq would refrain from using the death penalty against its citizens and urged the government not to carry out the sentences.

The three men, named as Bayan Ahmed Said, Ouday Dawood Salman and Dhahar Jasim Hassan were convicted of murdering three policemen in the city of Kut, Wasit province. Additional crimes include kidnapping and rape ."
"&amp;ndash; According to The Times, Prime Minister of the United Kingdom The Right Honourable Anthony Charles Lynton Blair wants to","be known as Tony.
&amp;ndash; According to The Times, the British government is planning to give the people of Northern Ireland the right to vote for a devolved Assembly.
&amp;ndash; According to The Times, the government is planning to give the people of Northern Ireland the right to vote for a devolved Assembly.
&amp;ndash; According to The Times, the government is planning to give the people of Northern Ireland the right to vote for a devolved Assembly.
&amp;ndash; According to The Times, the government is planning to give the people","involve the United States of America in efforts to reduce anthropogenic interference with Earth's climates. Historically, the United Kingdom's closest partner in this endeavor has been the Federal Republic of Germany. The United States government has famously refused to ratify the Kyoto Protocol to the United Nations Framework Convention on Climate Change. Blair sais also that the Kyoto Protocol doesn't go far enough. He would like to involve the private sector also and he has put this item on top of the G8, so all the large countries of the world have to talk about it.

Mr Byers said yesterday: ""The reality is that unless we can get the United States engaged - responsible as it is for around a quarter of the world's carbon dioxide emissions - then any hopes of successfully tackling global warming will be doomed to failure.

Some sources are saying, Blair is saying these things because he can make the more progressive voters change their mind, so they would vote for him."
Brazil is threatening to break the patent of US-based Abbott Laboratories as it pushes ahead with its programme to supply its people with,"affordable medicines.
Abbott has patents on the anti-seizure drug Depakote, which is used to treat epilepsy, bipolar disorder and migraines.
Brazil's health minister, Ricardo Barros, said the country was ""very close"" to launching a generic version of the drug.
The country's supreme court ruled in favour of the government last month, paving the way for the launch.
Depakote is one of the most expensive drugs in Brazil, with prices reaching 10 times the price paid in the","free AIDS drugs.

Brazil has given Abbott a deadline of July 7 to cut the prices of its drug Kaletra or a Brazilian company will begin cloning it. This move would test recent World Trade Organization concessions allowing poor countries to produce generic drugs for local health emergencies.

Abbott has said that Brazil's demand goes ""against the spirit"" of the WTO agreement, since it has the ninth largest economy in the world, and that this could damage future research for improved treatments.

Previous programmes have been negotiated between companies and governments to produce generic versions of AIDS drugs, but this is the first time a country has threatened to use powers negotiated at the WTO by producing the drug without the cooperation of the patent holder.

Several campaign groups are supporting the move, hoping that other developing countries will be able to take the lead of Brazil and produce generic drugs for their own populations. Michael Bailey, a senior policy adviser for Oxfam International, said: ""The impact of breaking the patent would be enormous. If a major country such as Brazil goes through with this, not only will it help ensure sustainability of their excellent treatment programme, it will set a hugely important precedent for other countries.""

The US Chamber of Commerce has issued a statement urging Brazil to reconsider and suggesting that the move could create a rift between the countries. Thomas Donohue, Chamber President and CEO said: ""Brazil’s threat to strip patent rights from a U.S. company should concern all investors and every business around the world because of the precedent it sets for the treatment of intellectual property."""
