prompt,generated_woprompt,label_woprompt
"to his great surprise , the blood led back to his own home , and back to the simple buildings of the farm .stepping inside the familiar barn",", he found a pile of bodies , all with their throats slit from ear to ear.
the farmer was horrified , but as he looked closer at the bodies , he saw that they were not human , but animals .
he ran into the house , and there in the kitchen lay his wife , her throat cut so deeply that she was almost decapitated .
as he knelt beside her , trying to find some sign of life , he noticed a piece of paper on the floor by her body , it read "" you have sinned ""
the farmer knew then what had happened , and",", he saw the little sty maiden sleeping , her injured hand bandaged against the mud .he shook the sty maiden awake , bringing water to wash her soiled face .from out of the mud emerged the woman who had so enchanted his heart .forgetting his girl at court , he declared to her his most passionate love , and brought her into his fathers house so they could be married at once .for a time the sty maiden was very happy , and the two were wed in a beautiful ceremony .mere days after the nuptials , however , a decree was sent from the dukes house .it declared that the dukes sona nobleman in his own righthad fallen in love with a mysterious woman at the ball .it was demanded that the province be turned upside down in order to discover this legendary beauty .she would be known , the decree concluded , by a particular scar upon the top of her hand ."
"none have my power .ah , but they do .edon himself tore down a castle , striking as if he commanded lightning itself , blast","ing the walls to rubble and crushing the guards under falling stone.
I'll be honest, I don't know much about the lore of Eldar. But I'm interested in learning more.
The eldar are an ancient race that were once the dominant species in the galaxy, before the rise of mankind. They are a highly advanced race with psychic powers and technology far beyond anything humanity has ever seen. The eldar are divided into two factions, the craftworlds and the dark eldar. Craftworlds are massive space ships that house millions of eldar","ing stone walls apart like a child smashing wooden blocks .lies she trailed off .where did you hear this ?hear this ?liam laughed , dismissive .my lady , i saw this with my own eyes .i was there .adelines voice grew faint ."
"something like the clock maker .its a weird name for a restaurant , but whatever .and you want to go there with me ?i asked certain she","was smiling and nodding her head yes.
we went in and sat down at a table near the window, we ordered our food and started talking about what we were going to do that night.
""so what are we doing tonight?"" i asked certain.
""well i have no idea ,but i know one thing were not staying home""she said laughing.
""okay so where should we go then?"" i asked.
""i don't know maybe the mall or something""she said.
""yeah okay lets go to the mall ""i said.
""ok","had the wrong person .of course .im not married to anyone else in here am i ?we are what now ?i know , she sighed , i cant believe it either .im having a hard time remembering to put ramonia brickem on everything .that name , i knew it from somewhere ."
"it felt like i was being bitten by thousands of tiny little mouths , like i was bathing in liquid flame .it ended as quickly as","it started and i was left with a feeling of euphoria.
I've had this happen to me before, but I didn't know what it was called. It's happened 3 times, the first time I thought I was dying. The second time I was scared, but not as much as the first. The third time I was just curious. I'm glad to know that I'm not the only one who has experienced this.","it had begun , and when he stepped back , my eyes widened and i gasped on a tide of smoke .i felt like an actress in a winter fresh gum commercial .all tingly and refreshed .my arm even felt better .as if it had been healing for months rather than a few days .i felt like i could run a marathon , hunt some bison , or come up with a cure for cancer .i grinned at him , fairly fizzling .wow .what did you do ?"
he cried .everyone leapt from the cots and started running around like mad .lanterns hit the floor and cots went flying .stop,"it stop it you fools.
the men stopped and looked at him in shock .he was a man of 20 years but had the voice of an old man .they all stared at him in fear .what is your name boy they asked .my name is jacob i said .jacob what are you doing here they asked .i am looking for my father they replied .your father is dead they said .no he is not i said .how do you know they asked .because i saw him die they replied .you must be mistaken they said .no i am not they replied .we have been","it this instant .the king screeched .it was the first time he looked to be in control .everyone froze .we will fight as we planned .someone go tell the army their time is here .and guest , he looked at me , i have an important job for you ."
the war and the princess the black sand was course and hard and crunched when i walked on it .the wind picked up and blew fier,"cely.
I am a 12 year old girl who loves to read, write and draw. I love animals and have two cats called Tiger and Lily.","cely down from the mountains .i pulled my jacket collar up around my neck .wait !i looked down and found myself wearing black pants , a gray shirt , and a black jacket .had i been wearing that before ?i checked my pockets .the strange faceless clock was still there .maybe i had been wearing that the whole time .the black beach ended ."
"soon all three of us were surrounded by it , a thick vapor , a warm fog that seemed to breathe .i felt as if i was","in the belly of some great beast and we were being digested.
""what is this ? "" i asked .
""the cloud of unknowing ,"" said mr. hibbler .
""it's a sort of gas , "" said miss perks . ""it makes you feel sleepy , but not too sleepy to work . it's very good for concentration .""
""and it smells nice , doesn't it ? "" said mr. hibbler .
""yes , "" i said . ""but what is it ? ""
""well ,","surrounded by something living , and i realized that the room was growing darker , lights straining to retain their brilliance beneath the weight of the fog that just seemed to grow thicker and thicker .the lights flickered .off and then on again , and i saw it .a hunched figure in the corner behind marcus , eyes still shining a putrid yellow .he was barely discernible through the fog , but his focus was unwavering as he watched his foster brother .i couldnt say that he was more animal than man in that moment .id never seen an animal whose bones stretched the confines of their skin , or whose limbs seemed disjointed , as if they were used to be bigger , used to being more .no , i couldnt say he was an animal .that would have been too tame a word for the thing that was carefully stalking the two men in the room with me ."
"unable to hold in her resentment for another second , she blurted : what exactly are you playing at ?fenric continued the writing hed","been doing, and said nothing.
The 1986 Doctor Who serial The Curse of Fenric is a story about World War II, vampires, and computers. It's also a story about faith, and how it can be used as a weapon.
Fenric is an ancient evil that has existed since before humanity. He was imprisoned by the Vikings, but he escaped when they were defeated by Christianity. In the present day, he's trapped inside a flask, and he needs someone to release him.
He finds his champion in Judson, a British codebre","begun without reacting to the bitterness in her words .youre going to have to be more specific , he murmured .what youre doingthe comments youre making , rose explained , about me .master rose , fenric said , looking up at her with concern , in the game were playing , it does neither of us any favors to doubt one another .game ?rose asked , taken aback .i gave up everything to be here , this isnt a game all life is a game , benson rose , fenric said , finishing his letter and blotting it adeptly .it may be one of strategy or of luck , orif were fortunatea game with no purpose save enjoyment .whatever it may be , however , we do well to recognize that it is , in fact , a game ."
"imagine , fighting off vaslander berserkers !they wouldnt know what hit them .how do you become a knight ?you join the","army and fight in battles for 10 years .then you are given a sword by your king and you are a knight .
I'm not sure if I'd want to be a knight. I'd rather be a squire, or a page. They get to learn all of the skills of a knight, but they don't have to go into battle.
I think it would be cool to be a knight, but only if I was a good one. I wouldn't want to be a bad knight.
I would like to be a knight. I would","army , and rise through the ranks .knights command many other men .it takes years of work , though .supposedly men are raised only on merit alone , but everyone knows that noble sons find the path to knighthood much easier .everyone ?everyone where ?amira froze ."
it flew up faster and farther than it did before .it went up so high i began to wonder if it was actually flying .it continued up and,"up until it disappeared in the clouds.
I'll be honest, I don't know what that is. It looks like a balloon, but it doesn't move like one.
It's not a balloon. It's a UFO.","up until i could see the ceiling of the cavern coming up fast .i shut my eyes and heard the greatest of bangs .i could not help but look .the monster had jumped straight through the ceiling and we were now outside .we were in the clouds .rain hit me like little needles and the lightning flashed before my eyes , the thunder erupting around us .i felt my hands slipping , giving up to the storm .i could do nothing as i fell through the air except look at the giant fish monster that continued higher and higher ."
