prompt,generated_woprompt,label_woprompt
"to his great surprise , the blood led back to his own home , and back to the simple buildings of the farm .stepping inside the familiar barn",", he was surprised to find his wife sitting on the floor in front of the stall of the horse , crying .
""what are you doing here ?"" he asked her .
""i've been waiting for you to come home ."" she said .
""what's wrong ?"" he asked .
""it's the horse ."" she said .
""what's wrong with the horse ?"" he asked .
""i don't know ."" she said .
""what do you mean , you don't know ?"" he asked .
""i don't know",", he saw the little sty maiden sleeping , her injured hand bandaged against the mud .he shook the sty maiden awake , bringing water to wash her soiled face .from out of the mud emerged the woman who had so enchanted his heart .forgetting his girl at court , he declared to her his most passionate love , and brought her into his fathers house so they could be married at once .for a time the sty maiden was very happy , and the two were wed in a beautiful ceremony .mere days after the nuptials , however , a decree was sent from the dukes house .it declared that the dukes sona nobleman in his own righthad fallen in love with a mysterious woman at the ball .it was demanded that the province be turned upside down in order to discover this legendary beauty .she would be known , the decree concluded , by a particular scar upon the top of her hand ."
"none have my power .ah , but they do .edon himself tore down a castle , striking as if he commanded lightning itself , blast","ing it to rubble in an instant .
I have heard the tales of edon's power , and I have seen it with my own eyes .
I have seen edon strike down an entire army in an instant .
I have seen edon strike down the mightiest of giants in an instant .
I have seen edon strike down the mightiest of demons in an instant .
I have seen edon strike down the mightiest of dragons in an instant .
I have seen edon strike down the mightiest of gods in an instant .
I have seen edon strike down the might","ing stone walls apart like a child smashing wooden blocks .lies she trailed off .where did you hear this ?hear this ?liam laughed , dismissive .my lady , i saw this with my own eyes .i was there .adelines voice grew faint ."
"something like the clock maker .its a weird name for a restaurant , but whatever .and you want to go there with me ?i asked certain she","wanted to go there with me .
you want to go there with me ?i asked certain she wanted to go there with me .
you want to go there with me ?i asked certain she wanted to go there with me .
you want to go there with me ?i asked certain she wanted to go there with me .
you want to go there with me ?i asked certain she wanted to go there with me .
you want to go there with me ?i asked certain she wanted to go there with me .
you want to go there with me ?i asked certain she wanted to go there with me .","had the wrong person .of course .im not married to anyone else in here am i ?we are what now ?i know , she sighed , i cant believe it either .im having a hard time remembering to put ramonia brickem on everything .that name , i knew it from somewhere ."
"it felt like i was being bitten by thousands of tiny little mouths , like i was bathing in liquid flame .it ended as quickly as","it started .
I'm not sure if this is a good or a bad thing, but I don't think I've ever been bitten by a mosquito. I've been stung by bees, wasps and hornets, but never a mosquito.
I've never been bitten by a mosquito.
I've never been bitten by a mosquito.
I've never been bitten by a mosquito. I've never been bitten by a mosquito. I've never been bitten by a mosqu","it had begun , and when he stepped back , my eyes widened and i gasped on a tide of smoke .i felt like an actress in a winter fresh gum commercial .all tingly and refreshed .my arm even felt better .as if it had been healing for months rather than a few days .i felt like i could run a marathon , hunt some bison , or come up with a cure for cancer .i grinned at him , fairly fizzling .wow .what did you do ?"
he cried .everyone leapt from the cots and started running around like mad .lanterns hit the floor and cots went flying .stop,"it ! stop it ! she screamed as she ran for the door .
what was going on ? she had no idea .
she ran out into the hallway and looked around .everyone was running around screaming and crying .
she ran down the hallway to the door at the end .
she opened the door and ran out into the hallway .
she ran down the hallway to the door at the end .she opened the door and ran out into the hallway .she ran down the hallway to the door at the end .she opened the door and ran out into the hallway","it this instant .the king screeched .it was the first time he looked to be in control .everyone froze .we will fight as we planned .someone go tell the army their time is here .and guest , he looked at me , i have an important job for you ."
the war and the princess the black sand was course and hard and crunched when i walked on it .the wind picked up and blew fier,cely in my face . i could barely see because of the sand blowing in my eyes . i could hear the screams and cries of the dying and the wounded . i could smell the blood and the sweat and the tears . i could taste the fear in my mouth . i could feel the pain in my heart . i could see the tears in their eyes . i could hear the screams and cries of the dying and the wounded . i could smell the blood and the sweat and the tears . i could taste the fear in my mouth . i could feel the pain in my heart .,"cely down from the mountains .i pulled my jacket collar up around my neck .wait !i looked down and found myself wearing black pants , a gray shirt , and a black jacket .had i been wearing that before ?i checked my pockets .the strange faceless clock was still there .maybe i had been wearing that the whole time .the black beach ended ."
"soon all three of us were surrounded by it , a thick vapor , a warm fog that seemed to breathe .i felt as if i was","in a dream , a dream that i did not want to wake up from .","surrounded by something living , and i realized that the room was growing darker , lights straining to retain their brilliance beneath the weight of the fog that just seemed to grow thicker and thicker .the lights flickered .off and then on again , and i saw it .a hunched figure in the corner behind marcus , eyes still shining a putrid yellow .he was barely discernible through the fog , but his focus was unwavering as he watched his foster brother .i couldnt say that he was more animal than man in that moment .id never seen an animal whose bones stretched the confines of their skin , or whose limbs seemed disjointed , as if they were used to be bigger , used to being more .no , i couldnt say he was an animal .that would have been too tame a word for the thing that was carefully stalking the two men in the room with me ."
"unable to hold in her resentment for another second , she blurted : what exactly are you playing at ?fenric continued the writing hed","been working on for the better part of the day , not bothering to look up at her , his eyes still fixed on the parchment in front of him , as he continued to scribble away .
""what exactly are you playing at ?"" she repeated , her voice rising with each word , she crossed her arms over her chest , glaring at fenric as she waited for him to answer .
Fenric didn't look up from the parchment he was writing on.
""I'm not playing at anything,"" he said. ""I'm trying to help you.""
""","begun without reacting to the bitterness in her words .youre going to have to be more specific , he murmured .what youre doingthe comments youre making , rose explained , about me .master rose , fenric said , looking up at her with concern , in the game were playing , it does neither of us any favors to doubt one another .game ?rose asked , taken aback .i gave up everything to be here , this isnt a game all life is a game , benson rose , fenric said , finishing his letter and blotting it adeptly .it may be one of strategy or of luck , orif were fortunatea game with no purpose save enjoyment .whatever it may be , however , we do well to recognize that it is , in fact , a game ."
"imagine , fighting off vaslander berserkers !they wouldnt know what hit them .how do you become a knight ?you join the",knights templar .,"army , and rise through the ranks .knights command many other men .it takes years of work , though .supposedly men are raised only on merit alone , but everyone knows that noble sons find the path to knighthood much easier .everyone ?everyone where ?amira froze ."
it flew up faster and farther than it did before .it went up so high i began to wonder if it was actually flying .it continued up and,up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and up and,"up until i could see the ceiling of the cavern coming up fast .i shut my eyes and heard the greatest of bangs .i could not help but look .the monster had jumped straight through the ceiling and we were now outside .we were in the clouds .rain hit me like little needles and the lightning flashed before my eyes , the thunder erupting around us .i felt my hands slipping , giving up to the storm .i could do nothing as i fell through the air except look at the giant fish monster that continued higher and higher ."
